category,title,emoji,url
background,"Afternoon Marketplace","🧺",https://user.uploads.dev/file/a7732352677934ad3ac0e98e577efb56.mp4
background,"Solarpunk City","🏙",https://user.uploads.dev/file/404076e6bb950071724c709956a1ca7c.mp4
background,"Ocean View","🌅",https://user.uploads.dev/file/aefae58a512bbf5fa05547eabf6c9582.mp4
background,"Cute Farmhouse","🌾",https://user.uploads.dev/file/e56f5778f83d80dc966ca91a3d050ea4.mp4
background,"Cosy Room","🧸",https://user.uploads.dev/file/37a72fc18e9b95c5b8580b8297a2ea81.mp4
background,"Dormitory","🛏️",https://user.uploads.dev/file/0ec7852db236b07de5f71798103d1ba7.mp4
background,"Sunlit Cabin","☀️",https://user.uploads.dev/file/48b3222ec4e8907dcc3eae2484d2d456.mp4
background,"Floating on Back","🏊",https://user.uploads.dev/file/3fbf15f79e54fde4072aa9698fa3de42.webm
background,"Abandoned City","🏚",https://user.uploads.dev/file/a32ddbf40f956968436f9f613ef3fd06.mp4
background,"Abandoned Station","🚊",https://user.uploads.dev/file/48dd46475cf498a29b4b84f0b2e998f2.mp4
background,"Forest Campsite","🏕️",https://user.uploads.dev/file/fee29b9182cdf73e84d90227df424823.mp4
background,"Sinking Ruins Forest","🏛️",https://user.uploads.dev/file/59d5fef2a68606ceec850252d5dfeb3d.webm
background,"Cute Snowy Forest","❄️",https://user.uploads.dev/file/aa7e072933e66c92f485aba23520ae17.mp4
background,"Zelda","🗡️",https://user.uploads.dev/file/b1c9793539f3dfac5718856bf684aadc.mp4
background,"Wilderness Snow","🏔️",https://user.uploads.dev/file/87a33181d41894c7a92ac24fca3ea3fd.mp4
background,"Japanese Autumn","🍂",https://user.uploads.dev/file/f4c8f17b576b4b2227c3f5291a9bee90.mp4
background,"Grassy Hillside Village","🌾",https://user.uploads.dev/file/4e059e5ceaf5d9d8b7cce44f5a7b5f23.webm
background,"Cyberpunk City","🌃",https://user.uploads.dev/file/d313697907717f2320f4bb715c6aa98e.webm
background,"Sleepy Cyberpunk","🌃",https://user.uploads.dev/file/54c47d79c55f56f02d63aeaef61bc42e.mp4
background,"Cyberpunk Cafe","🌃",https://user.uploads.dev/file/f2d05fd62257734d6d4a2bf6088b1785.mp4
background,"Dusk Silhouette","🌆",https://user.uploads.dev/file/21a9add7735340351ae6094a5ab1bb05.mp4
background,"Neon Alleyway","🌆",https://user.uploads.dev/file/349b18e56ff9ac3d22142b232acc6f8e.webm
background,"Fuji Village","🗻",https://user.uploads.dev/file/cca1e8143714e517e79eaf19739df9fd.mp4
background,"Portal Gate","⛩️",https://user.uploads.dev/file/80a1975a069a6cb7b0b3a058bb7a8d6c.mp4
background,"Moonlit Campfire","🫕",https://user.uploads.dev/file/c0a6f1d8573ba6072a635803bc1b4cd5.mp4
background,"Port Town Sunset","⛵",https://user.uploads.dev/file/7f7315e9f5ab49da3376ed7f7dde37ac.mp4
background,"Relaxing Minecraft","⛏️",https://user.uploads.dev/file/b811b143b384b3202752ad3c64481373.mp4
background,"Hollowknight","⚔️",https://user.uploads.dev/file/67b96adb450fd346e5361fe30ab64be2.mp4
background,"Elden Ring","⚔️",https://user.uploads.dev/file/accbe50140041e89ebffb1649fe7f641.mp4
background,"Pixel Village","🏰",https://user.uploads.dev/file/630d2e847b0cba30158073ef8db12d6c.mp4
background,"Sunset Abandoned Train","🚋",https://user.uploads.dev/file/3b30b3f9fe2d1407a14632b5c1e0a8fb.webm
background,"Cave Overlooking Mist","⛰️",https://user.uploads.dev/file/620c8e271c512a5860d1e0be4fc4ef35.mp4
background,"Snowy Viking Village","🌫",https://user.uploads.dev/file/8eb17b6322e41e41a3e815971d49c9b1.mp4
background,"Pixel Arctic City","🌨️",https://user.uploads.dev/file/36f2b749944860ea1f599ee51f40f870.gif
background,"Pixel City Sunset","🌇",https://user.uploads.dev/file/dc84e16a698aff6369d4ff63a435db2c.gif
background,"Snowy Pixel Temple","🏯",https://user.uploads.dev/file/757acf58dbda3d2a4c8429c2225b4b08.gif
background,"Pixel Seaside Forest","🏞️",https://user.uploads.dev/file/ad0697cd555be8f750e4a9d0b0fe50a9.gif
background,"Appa Sunset Ride","🐂",https://user.uploads.dev/file/df08b0d8ab1f262f929c0706774ebf0e.webm
background,"Haku Dragon","🐉",https://user.uploads.dev/file/a2089479d88005221cc46d22ee560e12.webm
background,"AoT Ocean","🌊",https://user.uploads.dev/file/1b83cab0ef5f0120b2a2a9dd0f84b617.webm
background,"Japanese Living Room","🍵",https://user.uploads.dev/file/34a83ecfa8ec3bf1959daf36519aaa2b.webm
background,"Autumn Samurai","🍂",https://user.uploads.dev/file/c1392fbd65273e70c02a5490a62bd331.webm
background,"Rune Mountain Path","⛰︎",https://user.uploads.dev/file/4869c86ed749ccc5797f8712c99e9b6b.webm
background,"Dungeon Entrance","🕸️",https://user.uploads.dev/file/e92d4ab750986076bb7bc075c73415e5.mp4
background,"Small Forest Cabin","🌲",https://user.uploads.dev/file/d30e93d6bc6110c5f1314dfaec7d943f.webm
background,"Up Late, Rainy Night","🪟",https://user.uploads.dev/file/b8b6fb4750ddfebde17ac9a93c3bb866.mp4
background,"Sunken Giant Statue","🗿",https://user.uploads.dev/file/45bd7cc56bee0839bb0029db92547ead.mp4
background,"Mountain Meadow Cottage","👒",https://user.uploads.dev/file/01cf8c7478fcbae8aaa20ec800325174.mp4
background,"Anime Rain Puddle","💧",https://user.uploads.dev/file/b248270bbc2c80953e8a1d9269c919ea.mp4
